x-axis,F1
Hertz,dBV
+104.0000E+00,-44.07959E+00
+104.5000E+00,-44.94026E+00
+105.0000E+00,-45.91437E+00
+105.5000E+00,-47.36691E+00
+106.0000E+00,-48.81945E+00
+106.5000E+00,-50.27200E+00
+107.0000E+00,-51.72454E+00
+107.5000E+00,-54.01536E+00
+108.0000E+00,-57.44832E+00
+108.5000E+00,-60.88128E+00
+109.0000E+00,-64.31424E+00
+109.5000E+00,-67.74720E+00
+110.0000E+00,-66.60146E+00
+110.5000E+00,-63.04306E+00
+111.0000E+00,-59.48466E+00
+111.5000E+00,-55.92626E+00
+112.0000E+00,-52.36786E+00
+112.5000E+00,-50.20840E+00
+113.0000E+00,-48.22799E+00
+113.5000E+00,-46.24757E+00
+114.0000E+00,-44.26715E+00
+114.5000E+00,-42.39485E+00
+115.0000E+00,-41.32938E+00
+115.5000E+00,-40.26391E+00
+116.0000E+00,-39.19844E+00
+116.5000E+00,-38.13296E+00
+117.0000E+00,-37.28330E+00
+117.5000E+00,-36.83479E+00
+118.0000E+00,-36.38628E+00
+118.5000E+00,-35.93776E+00
+119.0000E+00,-35.48925E+00
+119.5000E+00,-35.34587E+00
+120.0000E+00,-35.42216E+00
+120.5000E+00,-35.49845E+00
+121.0000E+00,-35.57473E+00
+121.5000E+00,-35.65102E+00
+122.0000E+00,-36.20270E+00
+122.5000E+00,-36.86369E+00
+123.0000E+00,-37.52469E+00
+123.5000E+00,-38.18568E+00
+124.0000E+00,-38.87805E+00
+124.5000E+00,-40.24151E+00
+125.0000E+00,-41.60497E+00
+125.5000E+00,-42.96842E+00
+126.0000E+00,-44.33188E+00
+126.5000E+00,-46.15398E+00
+127.0000E+00,-49.17734E+00
+127.5000E+00,-52.20070E+00
+128.0000E+00,-55.22406E+00
+128.5000E+00,-58.24742E+00
+129.0000E+00,-60.39151E+00
+129.5000E+00,-61.68379E+00
+130.0000E+00,-62.97608E+00
+130.5000E+00,-64.26837E+00
+131.0000E+00,-65.56066E+00
+131.5000E+00,-66.43907E+00
+132.0000E+00,-67.17175E+00
+132.5000E+00,-67.90442E+00
+133.0000E+00,-68.63709E+00
+133.5000E+00,-69.36976E+00
+134.0000E+00,-69.53209E+00
+134.5000E+00,-69.67750E+00
+135.0000E+00,-69.82290E+00
+135.5000E+00,-69.96831E+00
+136.0000E+00,-70.32774E+00
+136.5000E+00,-71.52838E+00
+137.0000E+00,-72.72902E+00
+137.5000E+00,-73.92966E+00
+138.0000E+00,-75.13030E+00
+138.5000E+00,-75.33375E+00
+139.0000E+00,-74.23910E+00
+139.5000E+00,-73.14444E+00
+140.0000E+00,-72.04979E+00
+140.5000E+00,-70.95513E+00
+141.0000E+00,-70.95928E+00
+141.5000E+00,-71.51429E+00
+142.0000E+00,-72.06929E+00
+142.5000E+00,-72.62430E+00
+143.0000E+00,-73.17931E+00
+143.5000E+00,-73.93747E+00
+144.0000E+00,-74.71878E+00
+144.5000E+00,-75.50010E+00
+145.0000E+00,-76.28141E+00
+145.5000E+00,-77.21588E+00
+146.0000E+00,-79.18145E+00
+146.5000E+00,-81.14702E+00
+147.0000E+00,-83.11259E+00
+147.5000E+00,-85.07816E+00
+148.0000E+00,-85.83838E+00
+148.5000E+00,-84.46468E+00
+149.0000E+00,-83.09098E+00
+149.5000E+00,-81.71729E+00
+150.0000E+00,-80.34359E+00
+150.5000E+00,-79.68320E+00
+151.0000E+00,-79.51322E+00
+151.5000E+00,-79.34324E+00
+152.0000E+00,-79.17325E+00
+152.5000E+00,-79.00327E+00
+153.0000E+00,-79.52199E+00
+153.5000E+00,-80.18759E+00
+154.0000E+00,-80.85319E+00
+154.5000E+00,-81.51879E+00
+155.0000E+00,-82.10564E+00
+155.5000E+00,-81.36119E+00
+156.0000E+00,-80.61675E+00
+156.5000E+00,-79.87230E+00
+157.0000E+00,-79.12785E+00
+157.5000E+00,-78.30039E+00
+158.0000E+00,-77.26717E+00
+158.5000E+00,-76.23396E+00
+159.0000E+00,-75.20074E+00
+159.5000E+00,-74.16752E+00
+160.0000E+00,-73.46202E+00
+160.5000E+00,-73.06010E+00
+161.0000E+00,-72.65818E+00
+161.5000E+00,-72.25626E+00
+162.0000E+00,-71.85434E+00
+162.5000E+00,-71.43358E+00
+163.0000E+00,-71.00657E+00
+163.5000E+00,-70.57957E+00
+164.0000E+00,-70.15256E+00
+164.5000E+00,-69.72555E+00
+165.0000E+00,-70.27531E+00
+165.5000E+00,-70.84260E+00
+166.0000E+00,-71.40990E+00
+166.5000E+00,-71.97719E+00
+167.0000E+00,-72.36404E+00
+167.5000E+00,-72.08807E+00
+168.0000E+00,-71.81211E+00
+168.5000E+00,-71.53614E+00
+169.0000E+00,-71.26017E+00
+169.5000E+00,-72.54456E+00
+170.0000E+00,-75.77016E+00
+170.5000E+00,-78.99576E+00
+171.0000E+00,-82.22136E+00
+171.5000E+00,-85.44696E+00
+172.0000E+00,-86.47972E+00
+172.5000E+00,-86.46743E+00
+173.0000E+00,-86.45514E+00
+173.5000E+00,-86.44285E+00
+174.0000E+00,-86.43056E+00
+174.5000E+00,-84.61833E+00
+175.0000E+00,-82.62562E+00
+175.5000E+00,-80.63292E+00
+176.0000E+00,-78.64021E+00
+176.5000E+00,-77.36926E+00
+177.0000E+00,-80.51345E+00
+177.5000E+00,-83.65764E+00
+178.0000E+00,-86.80183E+00
+178.5000E+00,-89.94603E+00
+179.0000E+00,-90.75278E+00
+179.5000E+00,-87.61576E+00
+180.0000E+00,-84.47873E+00
+180.5000E+00,-81.34171E+00
+181.0000E+00,-78.20469E+00
