x-axis,F1
Hertz,dBV
+104.0000E+00,-46.97632E+00
+104.5000E+00,-47.21798E+00
+105.0000E+00,-47.14771E+00
+105.5000E+00,-45.76172E+00
+106.0000E+00,-44.37574E+00
+106.5000E+00,-42.98975E+00
+107.0000E+00,-41.60377E+00
+107.5000E+00,-41.62906E+00
+108.0000E+00,-43.57722E+00
+108.5000E+00,-45.52538E+00
+109.0000E+00,-47.47354E+00
+109.5000E+00,-49.42170E+00
+110.0000E+00,-46.99805E+00
+110.5000E+00,-42.27076E+00
+111.0000E+00,-37.54346E+00
+111.5000E+00,-32.81617E+00
+112.0000E+00,-28.08887E+00
+112.5000E+00,-25.64608E+00
+113.0000E+00,-23.49568E+00
+113.5000E+00,-21.34528E+00
+114.0000E+00,-19.19488E+00
+114.5000E+00,-17.16863E+00
+115.0000E+00,-16.06885E+00
+115.5000E+00,-14.96908E+00
+116.0000E+00,-13.86930E+00
+116.5000E+00,-12.76953E+00
+117.0000E+00,-11.89487E+00
+117.5000E+00,-11.43868E+00
+118.0000E+00,-10.98249E+00
+118.5000E+00,-10.52629E+00
+119.0000E+00,-10.07010E+00
+119.5000E+00,-9.93214E+00
+120.0000E+00,-10.02327E+00
+120.5000E+00,-10.11441E+00
+121.0000E+00,-10.20555E+00
+121.5000E+00,-10.29668E+00
+122.0000E+00,-10.84281E+00
+122.5000E+00,-11.49357E+00
+123.0000E+00,-12.14432E+00
+123.5000E+00,-12.79507E+00
+124.0000E+00,-13.47812E+00
+124.5000E+00,-14.85182E+00
+125.0000E+00,-16.22551E+00
+125.5000E+00,-17.59921E+00
+126.0000E+00,-18.97291E+00
+126.5000E+00,-20.74314E+00
+127.0000E+00,-23.55197E+00
+127.5000E+00,-26.36080E+00
+128.0000E+00,-29.16963E+00
+128.5000E+00,-31.97847E+00
+129.0000E+00,-34.40657E+00
+129.5000E+00,-36.46583E+00
+130.0000E+00,-38.52510E+00
+130.5000E+00,-40.58436E+00
+131.0000E+00,-42.64362E+00
+131.5000E+00,-43.69225E+00
+132.0000E+00,-44.38499E+00
+132.5000E+00,-45.07773E+00
+133.0000E+00,-45.77046E+00
+133.5000E+00,-46.46320E+00
+134.0000E+00,-48.43735E+00
+134.5000E+00,-50.44951E+00
+135.0000E+00,-52.46167E+00
+135.5000E+00,-54.47383E+00
+136.0000E+00,-56.13749E+00
+136.5000E+00,-56.43138E+00
+137.0000E+00,-56.72526E+00
+137.5000E+00,-57.01915E+00
